Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1978,0.44,0.23,-0.14,-0.72,-0.81,-0.7,-0.72,-0.72,-0.47,-0.14,-0.02,0.26
1979,-0.09,-0.2,-0.08,0.24,0.08,0.3,-0.04,0.47,0.81,0.57,0.52,0.58
1980,0.42,0.02,-0.13,0.04,0.07,0.35,-0.1,-0.18,-0.04,-0.26,0.01,0.2
1981,-0.74,-0.65,-0.24,-0.33,-0.21,-0.03,-0.34,-0.32,0.04,0.11,-0.1,0.29
1982,0.2,0.01,-0.11,0.2,0.63,0.89,0.62,1.12,1.81,2.34,2.69,3.07
1983,2.9,2.44,2.01,1.73,1.96,1.74,1.03,0.83,0.18,-0.49,-0.79,-0.62
1984,-0.61,-0.44,-0.25,-0.43,-0.77,-1.1,-0.59,-0.5,-0.39,-0.86,-0.98,-1.36
1985,-1.01,-1.02,-0.94,-0.98,-1.11,-0.85,-0.9,-0.79,-0.74,-0.84,-0.68,-0.67
1986,-0.82,-0.54,-0.47,-0.45,-0.63,-0.27,0.03,-0.03,0.32,0.77,0.88,0.74
1987,1.04,0.98,1.05,0.95,1.07,1.12,1.34,1.43,1.63,1.23,1.16,1.07
1988,0.51,0.09,0.1,-0.75,-1.3,-1.85,-1.77,-1.56,-1.4,-1.86,-1.84,-1.76
1989,-1.39,-0.79,-1.04,-0.88,-0.78,-0.42,-0.27,-0.51,-0.32,-0.36,-0.34,-0.36
1990,-0.27,0.14,-0.12,0.14,0.24,0.01,-0.08,0.0,0.11,-0.06,-0.12,-0.03
1991,0.18,0.03,0.0,-0.09,0.37,0.68,0.74,0.29,0.1,0.64,1.03,1.32
1992,1.39,1.21,1.19,1.32,1.38,0.45,-0.01,-0.35,-0.35,-0.34,-0.29,-0.26
1993,-0.06,0.24,0.36,0.92,1.05,0.63,0.13,0.01,0.09,0.21,0.11,0.0
1994,-0.04,-0.29,-0.36,-0.43,-0.21,-0.02,-0.38,-0.19,0.01,0.62,0.85,0.94
1995,0.84,0.58,0.06,-0.23,-0.53,-0.23,-0.1,-0.58,-0.7,-0.73,-0.75,-0.74
1996,-0.58,-0.53,-0.29,-0.55,-0.53,-0.34,-0.26,-0.28,-0.33,-0.39,-0.49,-0.8
1997,-0.7,-0.39,0.06,0.28,1.07,1.68,2.27,2.75,2.84,3.11,3.22,3.24
1998,3.03,2.5,2.03,1.51,1.25,0.09,-0.17,-0.27,-0.46,-0.74,-0.71,-1.0
1999,-0.97,-0.77,-0.37,-0.63,-0.59,-0.69,-0.64,-0.74,-0.94,-1.16,-1.42,-1.46
2000,-1.71,-1.15,-0.82,-0.3,-0.5,-0.75,-0.58,-0.38,-0.31,-0.48,-0.72,-0.72
2001,-0.71,-0.4,-0.1,-0.03,-0.31,-0.24,-0.17,-0.28,-0.67,-0.53,-0.59,-0.64
2002,-0.49,-0.2,0.2,0.06,0.15,0.42,0.27,0.34,0.51,0.93,1.24,1.25
2003,0.71,0.28,0.1,-0.42,-0.89,-0.5,0.01,0.07,0.02,0.39,0.35,0.53
2004,0.43,0.14,-0.06,-0.04,-0.32,-0.19,-0.03,0.25,0.33,0.47,0.49,0.54
2005,0.28,-0.11,-0.16,0.14,0.25,0.18,0.12,0.09,-0.25,-0.43,-0.92,-1.27
2006,-0.9,-0.4,-0.58,-0.26,-0.14,-0.02,-0.01,0.36,0.71,0.85,0.93,1.06
2007,0.63,0.0,-0.36,-0.45,-0.76,-0.51,-0.63,-0.96,-1.29,-1.48,-1.71,-1.67
2008,-1.6,-1.25,-0.73,-0.47,-0.19,-0.04,0.33,0.54,0.03,-0.02,-0.15,-0.63
2009,-0.62,-0.49,-0.76,-0.07,0.34,0.71,0.89,0.72,0.76,0.78,1.19,1.47
2010,1.1,0.79,0.61,0.53,-0.01,-0.53,-0.84,-1.07,-1.34,-1.7,-1.56,-1.55
2011,-1.41,-0.84,-0.77,-0.36,-0.23,0.09,0.06,-0.4,-0.68,-0.98,-1.04,-0.79
2012,-0.73,-0.14,-0.15,0.0,0.01,0.5,0.83,0.75,0.39,0.04,0.17,-0.28
2013,-0.59,-0.45,0.04,-0.11,-0.67,-0.71,-0.56,-0.48,-0.22,-0.1,-0.11,-0.02
2014,-0.27,-0.65,-0.16,0.22,0.55,0.91,0.56,0.37,0.36,0.63,0.92,0.8
2015,0.39,0.16,0.08,0.75,0.99,1.54,1.87,2.08,2.36,2.47,2.63,2.65
2016,2.64,1.9,1.52,0.78,0.21,0.11,-0.24,-0.5,-0.19,-0.52,-0.48,-0.48
2017,-0.09,0.4,0.24,0.42,0.31,0.06,0.08,-0.37,-0.88,-0.82,-1.1,-1.09
2018,-1.17,-0.77,-0.87,-0.43,-0.18,0.19,0.27,-0.12,0.14,0.71,1.0,0.98
2019,0.59,0.59,0.62,0.64,0.55,0.45,0.07,0.03,-0.22,0.1,0.44,0.25
2020,0.37,0.2,-0.02,0.34,-0.24,-0.53,-0.36,-0.44,-0.79,-1.0,-0.89,-0.77
